time/s          ,Ewe/V           ,x_Na            ,SpecCap/mAh/g   ,D/cm^2/s        ,Cycle           
1.7813485592e+06,4.1584153000e+00,1.8779080830e-01,1.1450648889e+02,4.5581272527e-10,   2
1.7894485480e+06,4.1766639000e+00,1.7906568539e-01,1.1629950165e+02,2.2428430086e-10,   2
1.7975485368e+06,4.1951704000e+00,1.7034067220e-01,1.1809249186e+02,1.9503194248e-10,   2
1.8056485255e+06,4.2120934000e+00,1.6161567145e-01,1.1988547952e+02,2.1612695342e-10,   2
1.8137485145e+06,4.2297287000e+00,1.5289065684e-01,1.2167847002e+02,1.7981779421e-10,   2
1.8218485033e+06,4.2459345000e+00,1.4416565401e-01,1.2347145810e+02,1.6677627672e-10,   2
1.8299484921e+06,4.2618828000e+00,1.3544063125e-01,1.2526445028e+02,1.6542682595e-10,   2
1.8380484809e+06,4.2783980000e+00,1.2671556689e-01,1.2705745100e+02,1.5281718853e-10,   2
1.8461484697e+06,4.2953763000e+00,1.1799038813e-01,1.2885047524e+02,2.4383491742e-10,   2
1.8542484585e+06,4.3126640000e+00,1.0926523557e-01,1.3064349409e+02,1.9002982022e-10,   2
1.8623484473e+06,4.3314795000e+00,1.0054001741e-01,1.3243652642e+02,7.3516054326e-10,   2
1.8784029504e+06,4.2795310000e+00,1.0194365684e-01,1.3214807852e+02,7.8740904374e-10,   3
1.8937029291e+06,4.2208185000e+00,1.1066178472e-01,1.3035650324e+02,7.8167657131e-10,   3
1.9090029078e+06,4.1714454000e+00,1.1938001181e-01,1.2856490757e+02,9.2641153082e-10,   3
1.9243028865e+06,4.1218486000e+00,1.2809810974e-01,1.2677333845e+02,8.4662065786e-10,   3
1.9396028652e+06,4.0765958000e+00,1.3681623446e-01,1.2498176382e+02,1.0557067948e-09,   3
1.9549028439e+06,4.0299349000e+00,1.4553435173e-01,1.2319019072e+02,1.0111655028e-09,   3
1.9702028227e+06,3.9887843000e+00,1.5425278133e-01,1.2139855344e+02,9.0052100915e-10,   3
1.9855028014e+06,3.9537456000e+00,1.6297094659e-01,1.1960697048e+02,8.0336154144e-10,   3
2.0008027801e+06,3.9231877000e+00,1.7168936102e-01,1.1781533631e+02,6.5851630094e-11,   3
2.0314027375e+06,3.8682182000e+00,1.8912571278e-01,1.1423216602e+02,8.4513795162e-10,   3
2.0467027162e+06,3.8404410000e+00,1.9784388369e-01,1.1244058190e+02,6.4610556164e-11,   3
2.0926026524e+06,3.7485785000e+00,2.2399835130e-01,1.0706583881e+02,1.1584716492e-10,   3
2.1232028473e+06,3.6806815000e+00,2.4143449273e-01,1.0348271174e+02,8.4210509270e-11,   3
2.1691032021e+06,3.5735574000e+00,2.6758913239e-01,9.8107933295e+01,2.7192170509e-11,   3
2.2915041480e+06,3.2977808000e+00,3.3733432512e-01,8.3775296187e+01,8.2824528665e-11,   3
2.3374045027e+06,3.2111712000e+00,3.6348781179e-01,7.8400754677e+01,7.7131847659e-11,   3
2.3833048574e+06,3.1300726000e+00,3.8964195508e-01,7.3026078232e+01,4.0475001934e-11,   3
2.4598054486e+06,2.9683044000e+00,4.3323193770e-01,6.4068336803e+01,1.7747770311e-09,   3
2.4751055669e+06,2.9301071000e+00,4.4194986121e-01,6.2276803521e+01,1.3646151017e-09,   3
